Table 1:  Erythrocyte Data and sources for Figure 1.,,,,,,,,
Group,Species,Body Temperature (oC ),Body Mass (kg),Average Cell Lifespan (d),Source,,,
mammals,Ammotragus lervia,37,45.5,147,Vacha 1983,,,
mammals,Bos Taurus,38.3,404,130,"White and Seymour 2003, Vacha 1983",,,
mammals,Canis familiaris,38.9,14.5,100,"White and Seymour 2003, Vacha 1983",,,
mammals,Capra hirkus,39.1,31.8,115,"White and Seymour 2003, Vacha 1983",,,
mammals,Cavia aperea Erx. Var. Procellus,39a,0.715,80,"Clarke et al. 2010, Vacha 1983",,,
mammals,Cervus elaphus canadensis,38.9,275,149,"White and Seymour 2003, Vacha 1983",,,
mammals,Cervus nippon nippon,37.1,55,159,"Suzuki et al. 2001, Vacha 1983",,,
mammals,Choloepus didactylus L.,34.4b,9,113.5,"Clarke et al. 2010, Vacha 1983",,,
mammals,Citellus tridecemlineatus Mitchill,38.9,0.193,94.6,"Hock 1960, Vacha 1983",,,
mammals,Dasypus novemcincius,34.9,4.4,72,"Johansen 1961, Vacha 1983",,,
mammals,Didelphis marsupialis virginiana,35,3.7,74,"White and Seymour 2003, Vacha 1983",,,
mammals,Equis caballus,37.6,486,143,"White and Seymour 2003, Vacha 1983",,,
mammals,Erinaceus europaeus,33.9,0.672,91.2,"Webb & Ellison 1998, Vacha 1983",,,
mammals,Felis catus,38.6,3.6,72.5,"White and Seymour 2003, Vacha 1983",,,
mammals,Glis glis,37.7,0.12,91,"Clarke et al. 2010, Vacha 1983",,,
mammals,Glossophaga soricina,24.5,0.0102,181.8,"White and Seymour 2003, Voight et al. 2003",,,
mammals,Hemitragus jemlahicus jemlahicus,37,35.3,156,Vacha 1983,,,
mammals,Homo sapiens,37,65,110,"White and Seymour 2003, Smith et al. 2003,",,,
,,,,,Rodnan et al. 1967; Kurata et al. 1993,,,
mammals,Lama guanicos,38.7c,72,201,"Clarke et al. 2010, Vacha 1983",,,
mammals,Leptonycteris curasoae,24.5,0.0236,173.1,"White and Seymour 2003, Voight et al. 2003",,,
mammals,Lutreola vison,37.3,0.795,92.2,"Youngman 1990, Vacha 1983",,,
mammals,Macaca mullata,37,6.5,95.8,"White and Seymour 2003, Vacha 1983",,,
mammals,Meriones unguiacalatus,38.2,0.066,43,"White and Seymour 2003, Vacha 1983",,,
mammals,Mus musculus,36.9,0.0257,43,"White and Seymour 2003, Vacha 1983",,,
mammals,Odocoileus hemionna,39d,32,95,"Clarke et al. 2010, Vacha 1983",,,
mammals,Odocoileus virginianus,39,73.7,127,"Clarke et al. 2010, Vacha 1983",,,
mammals,Oryctolagus corniculus,39,3.2,57,"White and Seymour 2003, Vacha 1983",,,
mammals,Ovis aries,39.1,64,135,"White and Seymour 2003, Vacha 1983",,,
mammals,Rattus norvegicus,37.3,0.302,56,"White and Seymour 2003, Vacha 1983",,,
,,,,,,,,
birds,Columba livia,40,0.415,35,Rodnan et al. 1957,,,
birds,Corvus brachyrhynchos,41.5,0.416,43,"Baldwin & Kendeigh 1932 as in Verbeek 1995,",,,
,,,,,Hobson & Clark 1993,,,
birds,Coturnix coturnix japonica,40.8,0.1126,18,"Freeman 1970, Nirmalan & Robinson 1973",,,
birds,Dendroica coronata,40.5,0.0115,15.7,"Yarboroug 1971, Podlesak et al. 2005",,,
birds,Gallus gallus,41.7,3.4,30,"White and Seymour 2003, Rodnan et al. 1957",,,
birds,Passer domesticus,43.5,0.022,27.8,"McNab 1966, Bauchinger and McWilliams 2009",,,
birds,Pygoscelis adeliae,38.2,4.9,31.4,"McNab 1966, Beaulieu et al. 2010",,,
birds,Taeniopygia guttata,41,0.016,19.3,Bauchinger and McWilliams 2009,,,
,,,,,,,,
reptiles,Alligator mississippiensis,31,2.5,256.3,"Cline & Waldman 1962a, Cline & Waldman 1962b",,,
reptiles,Alligator mississippiensis,16.5,2.5,1135.2,"Cline & Waldman 1962a, Cline & Waldman 1962b",,,
reptiles,Caretta caretta,26.5,0.2088,40.1,Reich et al. 2008,,,
